#TEXT/SIMPLE
# elo ehi spectrum
5.0000000000000e-01 5.1000000000000e-01 8.6204308796897e-05
5.1000000000000e-01 5.2000000000000e-01 8.2741738456043e-05
5.2000000000000e-01 5.3000000000000e-01 7.8454940128485e-05
5.3000000000000e-01 5.4000000000000e-01 7.3939409223853e-05
5.4000000000000e-01 5.5000000000000e-01 6.2158429490845e-05
5.5000000000000e-01 5.6000000000000e-01 4.3336065661935e-04
5.6000000000000e-01 5.7000000000000e-01 1.4033822498267e-03
5.7000000000000e-01 5.8000000000000e-01 2.8548198491736e-03
5.8000000000000e-01 5.9000000000000e-01 4.1408174073966e-05
5.9000000000000e-01 6.0000000000000e-01 3.8913242335294e-05
6.0000000000000e-01 6.1000000000000e-01 3.7138290441952e-05
6.1000000000000e-01 6.2000000000000e-01 3.5022502923649e-05
6.2000000000000e-01 6.3000000000000e-01 3.3052706280538e-05
6.3000000000000e-01 6.4000000000000e-01 3.0617464528389e-05
6.4000000000000e-01 6.5000000000000e-01 2.9240666986968e-04
6.5000000000000e-01 6.6000000000000e-01 4.1416004625529e-03
6.6000000000000e-01 6.7000000000000e-01 5.3340851891113e-04
6.7000000000000e-01 6.8000000000000e-01 2.6742346365599e-05
6.8000000000000e-01 6.9000000000000e-01 2.2296912992822e-05
6.9000000000000e-01 7.0000000000000e-01 2.1399182175955e-04
7.0000000000000e-01 7.1000000000000e-01 8.2887722178570e-05
7.1000000000000e-01 7.2000000000000e-01 1.4077446395184e-04
7.2000000000000e-01 7.3000000000000e-01 2.4406434949617e-04
7.3000000000000e-01 7.4000000000000e-01 1.2869962325536e-04
7.4000000000000e-01 7.5000000000000e-01 5.1036453028934e-05
7.5000000000000e-01 7.6000000000000e-01 2.5143481409010e-05
7.6000000000000e-01 7.7000000000000e-01 5.6918968867107e-05
7.7000000000000e-01 7.8000000000000e-01 7.5477664507917e-04
7.8000000000000e-01 7.9000000000000e-01 4.5950565408197e-05
7.9000000000000e-01 8.0000000000000e-01 2.1607994282680e-05
8.0000000000000e-01 8.1000000000000e-01 4.5847392328045e-05
8.1000000000000e-01 8.2000000000000e-01 3.1010466519074e-04
8.2000000000000e-01 8.3000000000000e-01 1.4839448644784e-04
8.3000000000000e-01 8.4000000000000e-01 1.3958237595626e-04
8.4000000000000e-01 8.5000000000000e-01 1.0843879394419e-04
8.5000000000000e-01 8.6000000000000e-01 1.0814153103783e-04
8.6000000000000e-01 8.7000000000000e-01 1.0810522081725e-04
8.7000000000000e-01 8.8000000000000e-01 9.3928741040472e-05
8.8000000000000e-01 8.9000000000000e-01 4.3763831850841e-05
8.9000000000000e-01 9.0000000000000e-01 7.6961735963532e-05
9.0000000000000e-01 9.1000000000000e-01 5.7918505710768e-04
9.1000000000000e-01 9.2000000000000e-01 6.4346307883097e-04
9.2000000000000e-01 9.3000000000000e-01 1.0809401780786e-03
9.3000000000000e-01 9.4000000000000e-01 1.6075133316042e-05
9.4000000000000e-01 9.5000000000000e-01 1.7255762038774e-05
9.5000000000000e-01 9.6000000000000e-01 3.5911502805319e-05
9.6000000000000e-01 9.7000000000000e-01 5.6561287415195e-05
9.7000000000000e-01 9.8000000000000e-01 4.4474973652830e-05
9.8000000000000e-01 9.9000000000000e-01 2.0148842380616e-05
9.9000000000000e-01 1.0 1.0832192683606e-05
1.0 1.010000000000 1.0494294152918e-05
1.010000000000 1.020000000000 4.5453946304966e-04
1.020000000000 1.030000000000 9.2204514307355e-04
1.030000000000 1.040000000000 2.6068253992442e-05
1.040000000000 1.050000000000 7.8234149482706e-06
1.050000000000 1.060000000000 3.1688211742011e-05
1.060000000000 1.070000000000 6.8430164651040e-05
1.070000000000 1.080000000000 2.3618092425217e-04
1.080000000000 1.090000000000 3.7016730139825e-05
1.090000000000 1.100000000000 6.6125405234149e-06
1.100000000000 1.110000000000 6.5342035951694e-06
1.110000000000 1.120000000000 1.5724160071643e-05
1.120000000000 1.130000000000 9.1350015721672e-05
1.130000000000 1.140000000000 4.6727853384903e-05
1.140000000000 1.150000000000 2.3743886654056e-05
1.150000000000 1.160000000000 3.3110596442920e-05
1.160000000000 1.170000000000 3.8957866270344e-05
1.170000000000 1.180000000000 3.7160278188348e-05
1.180000000000 1.190000000000 2.8786975684065e-05
1.190000000000 1.200000000000 2.0853561425485e-05
1.200000000000 1.210000000000 9.3188652803378e-05
1.210000000000 1.220000000000 1.1848703559141e-04
1.220000000000 1.230000000000 1.1014378343545e-05
1.230000000000 1.240000000000 4.3102343917128e-06
1.240000000000 1.250000000000 4.0646971354652e-06
1.250000000000 1.260000000000 4.6815367882590e-06
1.260000000000 1.270000000000 1.6240140003738e-05
1.270000000000 1.280000000000 4.2318914785927e-05
1.280000000000 1.290000000000 2.7440902578197e-05
1.290000000000 1.300000000000 9.5081377598203e-06
1.300000000000 1.310000000000 2.3853346339443e-05
1.310000000000 1.320000000000 1.9455573159445e-05
1.320000000000 1.330000000000 4.7363286211061e-05
1.330000000000 1.340000000000 7.0690664856305e-05
1.340000000000 1.350000000000 1.0367033973804e-04
1.350000000000 1.360000000000 1.3378028991392e-04
1.360000000000 1.370000000000 2.4385878120874e-05
1.370000000000 1.380000000000 3.2029661368295e-06
1.380000000000 1.390000000000 2.8342915628619e-06
1.390000000000 1.400000000000 2.7699122723777e-06
1.400000000000 1.410000000000 2.7063272105990e-06
1.410000000000 1.420000000000 2.6430517975368e-06
1.420000000000 1.430000000000 2.5796804913457e-06
1.430000000000 1.440000000000 1.0651605748955e-05
1.440000000000 1.450000000000 2.4708986767450e-06
1.450000000000 1.460000000000 4.4389819057764e-06
1.460000000000 1.470000000000 3.9837405441136e-05
1.470000000000 1.480000000000 6.3424148493104e-05
1.480000000000 1.490000000000 1.1698823692646e-05
1.490000000000 1.500000000000 2.3353290772127e-06
1.500000000000 1.510000000000 2.1860151988038e-06
1.510000000000 1.520000000000 2.1491820462716e-06
1.520000000000 1.530000000000 2.1134719522072e-06
1.530000000000 1.540000000000 2.1029254189893e-06
1.540000000000 1.550000000000 2.3977184117865e-06
1.550000000000 1.560000000000 4.4491347948856e-06
1.560000000000 1.570000000000 1.0560930808744e-05
1.570000000000 1.580000000000 1.7504463682798e-05
1.580000000000 1.590000000000 1.6477499153737e-05
1.590000000000 1.600000000000 8.9185695688120e-06
1.600000000000 1.610000000000 3.5971757166809e-06
1.610000000000 1.620000000000 2.0342981463591e-06
1.620000000000 1.630000000000 1.7952386654487e-06
1.630000000000 1.640000000000 1.8627797661230e-06
1.640000000000 1.650000000000 3.5785206836613e-06
1.650000000000 1.660000000000 8.5823390990956e-06
1.660000000000 1.670000000000 7.6239167346819e-06
1.670000000000 1.680000000000 2.8319740405824e-06
1.680000000000 1.690000000000 1.6616833427686e-06
1.690000000000 1.700000000000 1.5979734905685e-06
1.700000000000 1.710000000000 1.7137179157362e-06
1.710000000000 1.720000000000 2.4323158830098e-06
1.720000000000 1.730000000000 4.6144842510705e-06
1.730000000000 1.740000000000 8.0016703238127e-06
1.740000000000 1.750000000000 9.8052349158383e-06
1.750000000000 1.760000000000 7.9633372900140e-06
1.760000000000 1.770000000000 4.5372333696292e-06
1.770000000000 1.780000000000 2.3152101294500e-06
1.780000000000 1.790000000000 1.5528772285392e-06
1.790000000000 1.800000000000 1.3914900103294e-06
1.800000000000 1.810000000000 1.3569778095154e-06
1.810000000000 1.820000000000 1.3381699492942e-06
1.820000000000 1.830000000000 1.6895788276304e-06
1.830000000000 1.840000000000 8.9352042871897e-06
1.840000000000 1.850000000000 7.6894667004579e-06
1.850000000000 1.860000000000 8.7796261394477e-06
1.860000000000 1.870000000000 2.6250927688480e-05
1.870000000000 1.880000000000 6.1793323920254e-06
1.880000000000 1.890000000000 1.2383071755161e-06
1.890000000000 1.900000000000 1.2000932772522e-06
1.900000000000 1.910000000000 1.1835044396091e-06
1.910000000000 1.920000000000 1.1668578451360e-06
1.920000000000 1.930000000000 1.1502266995156e-06
1.930000000000 1.940000000000 1.1336343282984e-06
1.940000000000 1.950000000000 1.1171976318682e-06
1.950000000000 1.960000000000 1.1017964098059e-06
1.960000000000 1.970000000000 1.0994745433432e-06
1.970000000000 1.980000000000 1.1443535898204e-06
1.980000000000 1.990000000000 1.7238082925480e-06
1.990000000000 2.0 3.7335498795121e-06
2.0 2.010000000000 5.3587393366733e-06
2.010000000000 2.020000000000 3.8083448315285e-06
2.020000000000 2.030000000000 1.7342079039038e-06
2.030000000000 2.040000000000 1.0870930374603e-06
2.040000000000 2.050000000000 1.0095473414554e-06
2.050000000000 2.060000000000 9.9897707003059e-07
2.060000000000 2.070000000000 9.8820584478108e-07
2.070000000000 2.080000000000 9.7756268706692e-07
2.080000000000 2.090000000000 9.6693321478291e-07
2.090000000000 2.100000000000 9.5630995691094e-07
2.100000000000 2.110000000000 9.4568441738806e-07
2.110000000000 2.120000000000 9.3505728000398e-07
2.120000000000 2.130000000000 9.2443404786045e-07
2.130000000000 2.140000000000 9.1398047100476e-07
2.140000000000 2.150000000000 9.0657027859102e-07
2.150000000000 2.160000000000 9.5402042070803e-07
2.160000000000 2.170000000000 1.3406765766224e-06
2.170000000000 2.180000000000 2.2276185017867e-06
2.180000000000 2.190000000000 2.4568809426001e-06
2.190000000000 2.200000000000 1.5988532627307e-06
2.200000000000 2.210000000000 9.7937408323955e-07
2.210000000000 2.220000000000 8.4021031696998e-07
2.220000000000 2.230000000000 8.2007831590693e-07
2.230000000000 2.240000000000 8.0946242862057e-07
2.240000000000 2.250000000000 7.9895246666201e-07
2.250000000000 2.260000000000 7.8844508533734e-07
2.260000000000 2.270000000000 7.7796589747994e-07
2.270000000000 2.280000000000 7.6749740518188e-07
2.280000000000 2.290000000000 7.5750086130598e-07
2.290000000000 2.300000000000 7.4903569138233e-07
2.300000000000 2.310000000000 7.4068561464859e-07
2.310000000000 2.320000000000 7.3232432897717e-07
2.320000000000 2.330000000000 7.2422153510799e-07
2.330000000000 2.340000000000 7.1700055160325e-07
2.340000000000 2.350000000000 7.0979131787296e-07
2.350000000000 2.360000000000 7.0248595311831e-07
2.360000000000 2.370000000000 6.9518362009957e-07
2.370000000000 2.380000000000 6.8779773262890e-07
2.380000000000 2.390000000000 6.8040581470405e-07
2.390000000000 2.400000000000 6.7302854055056e-07
2.400000000000 2.410000000000 6.6614955907204e-07
2.410000000000 2.420000000000 6.7380239372346e-07
2.420000000000 2.430000000000 9.0551970937932e-07
2.430000000000 2.440000000000 2.3042762105944e-06
2.440000000000 2.450000000000 4.9247651625741e-06
2.450000000000 2.460000000000 5.0376779872022e-06
2.460000000000 2.470000000000 2.4282775769377e-06
2.470000000000 2.480000000000 9.0968664033648e-07
2.480000000000 2.490000000000 6.2903969346051e-07
2.490000000000 2.500000000000 6.0413988561725e-07
2.500000000000 2.510000000000 5.9684299923368e-07
2.510000000000 2.520000000000 5.8999003643437e-07
2.520000000000 2.530000000000 5.8317016583856e-07
2.530000000000 2.540000000000 5.7639281981635e-07
2.540000000000 2.550000000000 5.6961536873467e-07
2.550000000000 2.560000000000 5.6283359045150e-07
2.560000000000 2.570000000000 5.5599888817267e-07
2.570000000000 2.580000000000 5.4916216005424e-07
2.580000000000 2.590000000000 5.4232867434686e-07
2.590000000000 2.600000000000 5.3548589333011e-07
2.600000000000 2.610000000000 5.2868848267218e-07
2.610000000000 2.620000000000 5.2283314085050e-07
2.620000000000 2.630000000000 5.1744394752595e-07
2.630000000000 2.640000000000 5.1223124402682e-07
2.640000000000 2.650000000000 5.0702079325813e-07
2.650000000000 2.660000000000 5.0183883293710e-07
2.660000000000 2.670000000000 4.9943311014674e-07
2.670000000000 2.680000000000 5.0176691696253e-07
2.680000000000 2.690000000000 4.9704592142707e-07
2.690000000000 2.700000000000 4.9235819400052e-07
2.700000000000 2.710000000000 4.8775697875325e-07
2.710000000000 2.720000000000 4.8315915842807e-07
2.720000000000 2.730000000000 4.7856543272248e-07
2.730000000000 2.740000000000 4.7398759662265e-07
2.740000000000 2.750000000000 4.6941071080011e-07
2.750000000000 2.760000000000 4.6483303600584e-07
2.760000000000 2.770000000000 4.6025394574458e-07
2.770000000000 2.780000000000 4.5567427274027e-07
2.780000000000 2.790000000000 4.5111525314953e-07
2.790000000000 2.800000000000 4.4658236201375e-07
2.800000000000 2.810000000000 4.4210441955032e-07
2.810000000000 2.820000000000 4.3766456595230e-07
2.820000000000 2.830000000000 4.3322741750802e-07
2.830000000000 2.840000000000 4.2878919938956e-07
2.840000000000 2.850000000000 4.2435163482682e-07
2.850000000000 2.860000000000 4.1990238807284e-07
2.860000000000 2.870000000000 4.1544830122295e-07
2.870000000000 2.880000000000 4.1099478242292e-07
2.880000000000 2.890000000000 4.0654054247833e-07
2.890000000000 2.900000000000 4.0208524979360e-07
2.900000000000 2.910000000000 3.9765037133996e-07
2.910000000000 2.920000000000 3.9323945972579e-07
2.920000000000 2.930000000000 3.8882964546724e-07
2.930000000000 2.940000000000 3.8441907762147e-07
2.940000000000 2.950000000000 3.8000762366073e-07
2.950000000000 2.960000000000 3.7571774614544e-07
2.960000000000 2.970000000000 3.7210002144315e-07
2.970000000000 2.980000000000 3.6858836359550e-07
2.980000000000 2.990000000000 3.6507684793769e-07
2.990000000000 3.0 3.6156455125359e-07
3.0 3.010000000000 3.5804405828496e-07
3.010000000000 3.020000000000 3.5460780673174e-07
3.020000000000 3.030000000000 3.5141928207445e-07
3.030000000000 3.040000000000 3.4824414150951e-07
3.040000000000 3.050000000000 3.4506847856090e-07
3.050000000000 3.060000000000 3.4189221910211e-07
3.060000000000 3.070000000000 3.3871530188413e-07
3.070000000000 3.080000000000 3.3553783325111e-07
3.080000000000 3.090000000000 3.3235308937234e-07
3.090000000000 3.100000000000 3.2918713615293e-07
3.100000000000 3.110000000000 3.2607741059203e-07
3.110000000000 3.120000000000 3.2297898559084e-07
3.120000000000 3.130000000000 3.1989664669844e-07
3.130000000000 3.140000000000 3.1688655540064e-07
3.140000000000 3.150000000000 3.1389006840945e-07
3.150000000000 3.160000000000 3.1089306021443e-07
3.160000000000 3.170000000000 3.0789552035351e-07
3.170000000000 3.180000000000 3.0489752025788e-07
3.180000000000 3.190000000000 3.0189906632361e-07
3.190000000000 3.200000000000 2.9890080486834e-07
3.200000000000 3.210000000000 2.9588582907983e-07
3.210000000000 3.220000000000 2.9287188875511e-07
3.220000000000 3.230000000000 2.9130355010750e-07
3.230000000000 3.240000000000 2.8945180909063e-07
3.240000000000 3.250000000000 2.8653530380617e-07
3.250000000000 3.260000000000 2.8361713318196e-07
3.260000000000 3.270000000000 2.8069824816452e-07
3.270000000000 3.280000000000 2.7777891443467e-07
3.280000000000 3.290000000000 2.7485913888012e-07
3.290000000000 3.300000000000 2.7193892123556e-07
3.300000000000 3.310000000000 2.6901833689538e-07
3.310000000000 3.320000000000 2.6611239969799e-07
3.320000000000 3.330000000000 2.6331968289233e-07
3.330000000000 3.340000000000 2.6096141992803e-07
3.340000000000 3.350000000000 2.5865494922616e-07
3.350000000000 3.360000000000 2.5634826750084e-07
3.360000000000 3.370000000000 2.5404346255708e-07
3.370000000000 3.380000000000 2.5174359345475e-07
3.380000000000 3.390000000000 2.4945128838452e-07
3.390000000000 3.400000000000 2.4725486629074e-07
3.400000000000 3.410000000000 2.4519141078465e-07
3.410000000000 3.420000000000 2.4312876788596e-07
3.420000000000 3.430000000000 2.4106687438931e-07
3.430000000000 3.440000000000 2.3900480779742e-07
3.440000000000 3.450000000000 2.3694313709012e-07
3.450000000000 3.460000000000 2.3488136670745e-07
3.460000000000 3.470000000000 2.3281932336599e-07
3.470000000000 3.480000000000 2.3075701264683e-07
3.480000000000 3.490000000000 2.3109143951192e-07
3.490000000000 3.500000000000 2.3019694797097e-07
3.500000000000 3.510000000000 2.2811519430948e-07
3.510000000000 3.520000000000 2.2604292896831e-07
3.520000000000 3.530000000000 2.2401740058073e-07
3.530000000000 3.540000000000 2.2199681510080e-07
3.540000000000 3.550000000000 2.1997599486330e-07
3.550000000000 3.560000000000 2.1795509650388e-07
3.560000000000 3.570000000000 2.1593404508347e-07
3.570000000000 3.580000000000 2.1391277135406e-07
3.580000000000 3.590000000000 2.1189127200004e-07
3.590000000000 3.600000000000 2.0986954930104e-07
3.600000000000 3.610000000000 2.0785379641945e-07
3.610000000000 3.620000000000 2.0585123925747e-07
3.620000000000 3.630000000000 2.0384893244802e-07
3.630000000000 3.640000000000 2.0184643360873e-07
3.640000000000 3.650000000000 1.9984465649679e-07
3.650000000000 3.660000000000 1.9784325521522e-07
3.660000000000 3.670000000000 1.9584165431929e-07
3.670000000000 3.680000000000 1.9384863876456e-07
3.680000000000 3.690000000000 1.9189575544007e-07
3.690000000000 3.700000000000 1.8995488824554e-07
3.700000000000 3.710000000000 1.8801398821045e-07
3.710000000000 3.720000000000 1.8613702946760e-07
3.720000000000 3.730000000000 1.8453591857927e-07
3.730000000000 3.740000000000 1.8296639979732e-07
3.740000000000 3.750000000000 1.8139571459674e-07
3.750000000000 3.760000000000 1.7983502246737e-07
3.760000000000 3.770000000000 1.7828146035481e-07
3.770000000000 3.780000000000 1.7672933145881e-07
3.780000000000 3.790000000000 1.7517804342604e-07
3.790000000000 3.800000000000 1.7370341569363e-07
3.800000000000 3.810000000000 1.7230197482510e-07
3.810000000000 3.820000000000 1.7090163123252e-07
3.820000000000 3.830000000000 1.6950526985050e-07
3.830000000000 3.840000000000 1.6811214258579e-07
3.840000000000 3.850000000000 1.6671890697892e-07
3.850000000000 3.860000000000 1.6532565450453e-07
3.860000000000 3.870000000000 1.6393228328863e-07
3.870000000000 3.880000000000 1.6253879484687e-07
3.880000000000 3.890000000000 1.6114533030800e-07
3.890000000000 3.900000000000 1.5975784618787e-07
3.900000000000 3.910000000000 1.5837365968175e-07
3.910000000000 3.920000000000 1.5698959239713e-07
